time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
3.05,Terrain0,hrp2[RLEG_JOINT5],10,-0.250015416662,-0.0819400473033,-0.000180105468706,2.86842961087e-15,-2.72479416289e-16,-1.0,93.2475152346,24.1063384983,342.454335472,-0.00492057647634,-0.001694921823,-4.81858810157
3.05,Terrain0,hrp2[LLEG_JOINT5],11,0.242154914216,0.13021550442,-2.13891653496e-05,5.12658675903e-16,2.5451120696e-16,-1.0,-93.2325195672,-20.8843598789,215.144231903,-9.48772196675e-05,-0.000507473430234,-4.48042795469
3.07,Terrain0,hrp2[RLEG_JOINT5],11,-0.281327823808,-0.0830718644057,-0.000194342141548,-3.0045246859e-15,-2.19982864221e-15,-1.0,89.0568782727,21.7606543262,333.071848744,-0.00809915486665,0.000108597825134,-5.13509716101
3.07,Terrain0,hrp2[LLEG_JOINT5],10,0.210988393661,0.1140275353,-2.72036839186e-05,-2.28385588489e-15,-1.40885703166e-15,-1.0,-95.29394812,-18.2357253527,221.015693247,0.000184494749322,0.000203566657117,-4.18619628219
3.09,Terrain0,hrp2[RLEG_JOINT5],11,-0.261829529284,-0.0702251520737,-0.000213367648118,-1.42964948005e-15,-1.48752921784e-15,-1.0,92.7685628477,22.5760358345,339.537108173,-0.00498652461916,-0.000662290716986,-4.53737647156
3.09,Terrain0,hrp2[LLEG_JOINT5],10,0.210541064509,0.123819433446,-2.80477630509e-05,-1.14118592815e-15,8.64553558621e-16,-1.0,-92.3103334773,-21.7536292151,212.819058074,0.000224233396723,1.66373565524e-06,-4.40397730483
3.11,Terrain0,hrp2[RLEG_JOINT5],11,-0.261793191806,-0.0737415394159,-0.000198097697758,2.79617136764e-15,1.47675903638e-15,-1.0,88.0249863651,23.5363768571,329.555765163,-0.00434318382293,0.00037172697263,-4.4123643466
3.11,Terrain0,hrp2[LLEG_JOINT5],10,0.210765082332,0.12782455002,-2.76328535827e-05,5.09884343875e-15,5.60017610502e-16,-1.0,-90.1560662153,-23.5198560832,216.379125061,0.000184404983615,6.94186123606e-05,-3.81488796935
3.13,Terrain0,hrp2[RLEG_JOINT5],11,-0.262111266725,-0.0790857573771,-0.000183359123593,-9.46441314508e-15,-1.88079557315e-15,-1.0,92.2439693125,25.835454906,341.538062909,-0.00386992949924,-0.000491789925694,-4.13511566326
3.13,Terrain0,hrp2[LLEG_JOINT5],10,0.210803289197,0.127824609846,-2.64861227843e-05,-2.27270320267e-15,5.59572859614e-16,-1.0,-92.8134164348,-24.4376589798,213.129116834,0.00020013309298,-9.40921391502e-05,-4.21952135149
3.15,Terrain0,hrp2[RLEG_JOINT5],11,-0.281646862795,-0.0794411951812,-0.000146592245762,2.65018459999e-15,1.12593844477e-15,-1.0,89.6943518021,26.0644613215,333.293339355,-0.00322927261618,0.000150980910678,-3.63576868418
3.15,Terrain0,hrp2[LLEG_JOINT5],10,0.232248795968,0.128238398274,-2.52331148346e-05,-1.70987394156e-15,1.12216178939e-15,-1.0,-90.1856210066,-28.5113062308,214.223580562,-1.57525963562e-06,-0.0002049683997,-4.12229554406
3.17,Terrain0,hrp2[RLEG_JOINT5],11,-0.281579239407,-0.0705293869654,-0.000137919917548,3.89136169159e-15,1.8381972239e-16,-1.0,90.3406918715,23.8395305208,343.782578244,-0.00237098356445,-0.00165097128377,-3.75221376706
3.17,Terrain0,hrp2[LLEG_JOINT5],10,0.210714849058,0.123819673935,-2.35152703814e-05,5.66034676745e-16,0.0,-1.0,-81.1965749559,-24.0414951489,205.300954005,9.40150179428e-05,-0.000147171228924,-3.63525627343
3.19,Terrain0,hrp2[RLEG_JOINT5],11,-0.26214510478,-0.0915142573255,-0.000147445617685,0.0,3.18720555089e-16,-1.0,90.9018234337,27.9582247423,340.519258085,-0.00285602166733,-0.00126343656053,-3.27608743638
3.19,Terrain0,hrp2[LLEG_JOINT5],10,0.232899010749,0.118446701279,-2.14567466175e-05,-1.46322691925e-15,-1.14258151046e-15,-1.0,-91.149981454,-27.994974838,210.154555695,1.38280332499e-05,-0.000451580299519,-4.37930432114
3.21,Terrain0,hrp2[RLEG_JOINT5],11,-0.281860728607,-0.0793900089084,-0.000119446909706,2.49767682474e-15,-1.12768293458e-15,-1.0,92.9303371144,27.3208336619,347.635128736,-0.00234659115067,-0.00156993128669,-3.69660757105
3.21,Terrain0,hrp2[LLEG_JOINT5],10,0.232474392059,0.128238616175,-2.27481975434e-05,2.26550647768e-15,-1.42012769589e-15,-1.0,-92.2171977641,-26.9735369324,212.926191687,0.000102352942667,-0.000464373161203,-4.50543312663
3.23,Terrain0,hrp2[RLEG_JOINT5],11,-0.28172462367,-0.0919592065502,-0.000179711380412,0.0,-1.51861872913e-15,-1.0,92.6192601826,26.708211357,342.671331846,-0.00508937149112,-0.00118431442956,-3.75700376353
3.23,Terrain0,hrp2[LLEG_JOINT5],10,0.232132544052,0.132218447062,-3.82433692276e-05,-1.68315225393e-15,2.84960849289e-16,-1.0,-95.7981929731,-26.0594655549,216.821517148,-0.000549962933524,-0.00143463714757,-5.23592723228
3.25,Terrain0,hrp2[RLEG_JOINT5],11,-0.261699810925,-0.0738175997866,-0.000202957397567,4.27697767517e-15,2.9601287147e-15,-1.0,91.8255838837,26.6054203614,340.968362535,-0.0039482219555,-0.000866207748251,-3.8353151669
